date,open_price,high_price,low_price,close_price,volume,dividend,split
2019-09-13,18.1,19.41,17.5,18.0,35972040,0.0,1.0
2019-09-16,18.6,19.55,18.3,18.63,9700188,0.0,1.0
2019-09-17,18.45,18.9,18.2,18.75,3170228,0.0,1.0
2019-09-18,18.83,19.7,18.63,19.59,4708632,0.0,1.0
2019-09-19,20.0,20.48,18.31,18.75,8516348,0.0,1.0
2019-09-20,18.9,20.0,18.77,19.87,4850050,0.0,1.0
2019-09-23,20.09,21.22,19.58,20.96,3527753,0.0,1.0
2019-09-24,21.51,22.08,19.67,20.71,5011738,0.0,1.0
2019-09-25,20.88,21.2,20.1,20.52,2626725,0.0,1.0
2019-09-26,20.52,20.61,18.71,19.55,3127886,0.0,1.0
2019-09-27,19.41,19.73,18.0,18.24,3290026,0.0,1.0
2019-09-30,18.25,18.73,17.51,18.57,2312956,0.0,1.0
2019-10-01,18.72,18.72,16.62,16.84,2624530,0.0,1.0
2019-10-02,16.49,17.3,15.51,17.25,3318294,0.0,1.0
2019-10-03,17.02,17.38,16.52,16.78,2463507,0.0,1.0
2019-10-04,17.12,17.45,16.6,17.27,1577256,0.0,1.0
2019-10-07,17.27,17.6,16.91,17.04,1427133,0.0,1.0
2019-10-08,16.76,17.7,16.55,17.19,1310825,0.0,1.0
2019-10-09,17.46,17.54,16.92,17.34,836896,0.0,1.0
2019-10-10,17.26,17.26,16.25,16.33,1887847,0.0,1.0
2019-10-11,16.32,16.61,16.11,16.47,1457087,0.0,1.0
2019-10-14,16.5,16.5,15.68,15.69,1292338,0.0,1.0
2019-10-15,15.68,16.43,15.68,16.36,1025819,0.0,1.0
2019-10-16,16.31,16.43,15.83,15.85,1117898,0.0,1.0
2019-10-17,15.88,16.35,15.83,15.91,938739,0.0,1.0
2019-10-18,15.93,16.17,15.25,15.29,836129,0.0,1.0
2019-10-21,15.37,15.69,14.5,14.97,1127262,0.0,1.0
2019-10-22,15.04,15.13,14.52,14.62,1209116,0.0,1.0
2019-10-23,14.63,15.24,14.63,14.73,894715,0.0,1.0
2019-10-24,14.85,15.93,14.8,15.84,1117892,0.0,1.0
2019-10-25,15.79,16.3,15.69,16.17,1023373,0.0,1.0
2019-10-28,16.3,16.41,15.8,16.03,1184943,0.0,1.0
2019-10-29,16.12,16.24,15.58,15.72,753130,0.0,1.0
2019-10-30,15.75,16.77,15.73,16.73,1093103,0.0,1.0
2019-10-31,16.75,16.97,16.32,16.84,918145,0.0,1.0
2019-11-01,16.92,17.19,16.7,16.83,705578,0.0,1.0
2019-11-04,17.34,17.48,16.89,17.37,1013435,0.0,1.0
2019-11-05,17.44,17.49,16.84,17.1,850780,0.0,1.0
2019-11-06,16.99,17.1,16.16,16.22,1057002,0.0,1.0
2019-11-07,16.47,16.84,15.55,15.89,1437076,0.0,1.0
2019-11-08,16.3,16.6,15.58,16.12,1498692,0.0,1.0
2019-11-11,15.94,16.47,15.94,16.23,503996,0.0,1.0
2019-11-12,16.26,16.37,16.02,16.16,338955,0.0,1.0
2019-11-13,16.0,16.38,15.78,16.26,713239,0.0,1.0
2019-11-14,16.12,16.75,16.0,16.67,659267,0.0,1.0
